Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,PRECINCT 307.0,0,415,754,191,1360,67.80
President and Vice President,Donald J. Trump,REP,PRECINCT 308.0,0,269,397,110,776,62.28
President and Vice President,Donald J. Trump,REP,PRECINCT 309.0,0,469,773,203,1445,66.44
President and Vice President,Donald J. Trump,REP,PRECINCT 310.0,0,474,675,195,1344,70.15
President and Vice President,Donald J. Trump,REP,PRECINCT 311.0,0,608,881,234,1723,64.97
President and Vice President,Donald J. Trump,REP,PRECINCT 312.0,0,331,593,178,1102,63.26
President and Vice President,Donald J. Trump,REP,PRECINCT 314.0,0,0,0,0,130,76.92
President and Vice President,Donald J. Trump,REP,PRECINCT 315.0,0,389,528,225,1142,70.93
President and Vice President,Donald J. Trump,REP,PRECINCT 316.0,0,309,475,215,999,71.61
President and Vice President,Donald J. Trump,REP,PRECINCT 317.0,0,339,457,165,961,78.32
President and Vice President,Donald J. Trump,REP,PRECINCT 318.0,0,618,919,277,1814,70.58
President and Vice President,Donald J. Trump,REP,PRECINCT 319.0,0,287,380,146,813,71.82
President and Vice President,Donald J. Trump,REP,PRECINCT 320.0,0,580,901,257,1738,71.67
President and Vice President,Donald J. Trump,REP,PRECINCT 321.0,0,574,896,326,1796,64.81
President and Vice President,Donald J. Trump,REP,PRECINCT 322.0,0,340,515,163,1018,54.73
President and Vice President,Donald J. Trump,REP,PRECINCT 323.0,0,313,437,213,963,65.11
President and Vice President,Donald J. Trump,REP,PRECINCT 324.0,0,295,413,225,933,67.61
President and Vice President,Donald J. Trump,REP,PRECINCT 325.0,0,283,440,91,814,77.67
President and Vice President,Donald J. Trump,REP,PRECINCT 326.0,0,238,373,86,697,75.76
President and Vice President,Donald J. Trump,REP,PRECINCT 327.0,0,412,638,241,1291,62.07
President and Vice President,Donald J. Trump,REP,PRECINCT 328.0,0,619,897,183,1699,72.86
President and Vice President,Donald J. Trump,REP,PRECINCT 329.0,0,0,0,0,2,11.11
President and Vice President,Donald J. Trump,REP,PRECINCT 330.0,0,577,783,124,1484,62.70
President and Vice President,Donald J. Trump,REP,PRECINCT 331.0,0,668,970,148,1786,72.69
President and Vice President,Donald J. Trump,REP,PRECINCT 332.0,0,385,531,127,1043,65.43
President and Vice President,Donald J. Trump,REP,PRECINCT 333.0,0,276,359,167,802,66.12
President and Vice President,Donald J. Trump,REP,PRECINCT 334.0,0,0,0,0,54,57.45
President and Vice President,Donald J. Trump,REP,PRECINCT 335.0,0,294,342,122,758,62.28
President and Vice President,Donald J. Trump,REP,PRECINCT 336.0,0,162,193,55,410,66.67
President and Vice President,Donald J. Trump,REP,PRECINCT 337.0,0,563,780,303,1646,69.33
President and Vice President,Donald J. Trump,REP,PRECINCT 338.0,0,304,391,113,808,71.06
President and Vice President,Donald J. Trump,REP,PRECINCT 339.0,0,634,768,287,1689,66.29
President and Vice President,Donald J. Trump,REP,PRECINCT 340.0,0,805,901,294,2000,63.45
President and Vice President,Donald J. Trump,REP,PRECINCT 341.0,0,0,0,0,40,41.24
President and Vice President,Donald J. Trump,REP,PRECINCT 341.1,0,0,0,0,0,0.00
President and Vice President,Donald J. Trump,REP,PRECINCT 342.0,0,366,451,152,969,65.69
President and Vice President,Donald J. Trump,REP,PRECINCT 343.0,0,371,677,285,1333,57.31
President and Vice President,Donald J. Trump,REP,PRECINCT 344.0,0,309,440,267,1016,57.24
President and Vice President,Donald J. Trump,REP,PRECINCT 345.0,0,0,0,0,0,0.00
President and Vice President,Donald J. Trump,REP,PRECINCT 345.1,0,0,0,0,2,100.00
President and Vice President,Donald J. Trump,REP,PRECINCT 346.0,0,288,406,251,945,57.45
President and Vice President,Donald J. Trump,REP,PRECINCT 347.0,0,208,241,198,647,53.87
President and Vice President,Donald J. Trump,REP,PRECINCT 348.0,0,193,73,126,392,68.41
President and Vice President,Donald J. Trump,REP,PRECINCT 349.0,0,376,630,168,1174,63.29
President and Vice President,Donald J. Trump,REP,PRECINCT 350.0,0,188,317,61,566,43.37
President and Vice President,Donald J. Trump,REP,PRECINCT 351.0,0,344,584,324,1252,41.48
President and Vice President,Donald J. Trump,REP,PRECINCT 352.0,0,672,1219,129,2020,67.56
President and Vice President,Donald J. Trump,REP,PRECINCT 353.0,0,447,693,114,1254,61.80
President and Vice President,Donald J. Trump,REP,PRECINCT 354.0,0,241,360,127,728,75.36
President and Vice President,Donald J. Trump,REP,PRECINCT 355.0,0,400,733,225,1358,46.27
President and Vice President,Donald J. Trump,REP,PRECINCT 356.0,0,120,258,90,468,44.78
President and Vice President,Donald J. Trump,REP,PRECINCT 357.0,0,323,481,199,1003,71.59
President and Vice President,Donald J. Trump,REP,PRECINCT 358.0,0,304,529,141,974,66.48
President and Vice President,Donald J. Trump,REP,PRECINCT 359.0,0,329,525,180,1034,60.90
President and Vice President,Donald J. Trump,REP,PRECINCT 360.0,0,699,1202,325,2226,65.03
President and Vice President,Donald J. Trump,REP,PRECINCT 362.0,0,388,551,179,1118,69.05
President and Vice President,Donald J. Trump,REP,PRECINCT 363.0,0,796,1547,428,2771,58.58
President and Vice President,Donald J. Trump,REP,PRECINCT 364.0,0,485,885,252,1622,56.16
President and Vice President,Donald J. Trump,REP,PRECINCT 365.0,0,345,700,219,1264,47.92
President and Vice President,Donald J. Trump,REP,PRECINCT 366.0,0,465,753,185,1403,52.74
President and Vice President,Donald J. Trump,REP,PRECINCT 367.0,0,301,571,227,1099,52.11
